UniProt1	UniProt2	Gene1	Gene2	PositiveFeature	HumanPPI	MousePPI	FlyPPI	WormPPI	YeastPPI	DomainInt
P01111	Q8N9B8	NRAS	RASGEF1A	true	false	false	false	false	false	true
P01111	Q8TDF6	NRAS	RASGRP4	false	false	false	false	false	false	false
P01112	P12034	HRAS	FGF5	false	false	false	false	false	false	false
P01111	P52333	NRAS	JAK3	false	false	false	false	false	false	false
P01116	P12034	KRAS	FGF5	false	false	false	false	false	false	false
P01112	Q07889	HRAS	SOS1	true	true	false	false	false	false	true
P01112	Q05586	HRAS	GRIN1	false	false	false	false	false	false	false
P01111	Q13813	NRAS	SPTAN1	false	false	false	false	false	false	false
P01111	P26951	NRAS	IL3RA	false	false	false	false	false	false	false
P01112	P21781	HRAS	FGF7	false	false	false	false	false	false	false
P01111	P16234	NRAS	PDGFRA	false	false	false	false	false	false	false
P01112	Q9HCT0	HRAS	FGF22	false	false	false	false	false	false	false
P01116	Q07889	KRAS	SOS1	true	false	false	false	false	false	true
P01116	Q05586	KRAS	GRIN1	false	false	false	false	false	false	false
P01111	P07196	NRAS	NEFL	false	false	false	false	false	false	false
P01111	P35568	NRAS	IRS1	true	false	false	false	false	false	true
P01116	Q9GZV9	KRAS	FGF23	false	false	false	false	false	false	false
P01116	P21781	KRAS	FGF7	false	false	false	false	false	false	false
P01111	Q15303	NRAS	ERBB4	true	false	true	false	false	false	false
P01111	Q92529	NRAS	SHC3	false	false	false	false	false	false	false
O14944	P01112	EREG	HRAS	false	false	false	false	false	false	false
O14944	P01111	EREG	NRAS	false	false	false	false	false	false	false
P01116	Q86Z14	KRAS	KLB	false	false	false	false	false	false	false
O14944	P01116	EREG	KRAS	false	false	false	false	false	false	false
P01112	Q86Z14	HRAS	KLB	false	false	false	false	false	false	false
P01111	P11487	NRAS	FGF3	false	false	false	false	false	false	false
P01116	P98077	KRAS	SHC2	false	false	false	false	false	false	false
P01111	P11362	NRAS	FGFR1	false	false	false	false	false	false	false
P01112	P98077	HRAS	SHC2	false	false	false	false	false	false	false
P01112	P31371	HRAS	FGF9	false	false	false	false	false	false	false
P01116	P62993	KRAS	GRB2	false	false	false	false	false	false	false
P01116	P31371	KRAS	FGF9	false	false	false	false	false	false	false
O95267	P01116	RASGRP1	KRAS	false	false	false	false	false	false	false
O95267	P01111	RASGRP1	NRAS	false	false	false	false	false	false	false
P01111	P18433	NRAS	PTPRA	false	false	false	false	false	false	false
O95267	P01112	RASGRP1	HRAS	false	false	false	false	false	false	false
P01112	P62993	HRAS	GRB2	false	false	false	false	false	false	false
P01112	Q9GZV9	HRAS	FGF23	false	false	false	false	false	false	false
O43561	P01112	LAT	HRAS	false	false	false	false	false	false	false
P01116	P35609	KRAS	ACTN2	false	false	false	false	false	false	false
P01111	P04141	NRAS	CSF2	false	false	false	false	false	false	false
P01111	P05230	NRAS	FGF1	false	false	false	false	false	false	false
P01112	Q15389	HRAS	ANGPT1	false	false	false	false	false	false	false
O43561	P01116	LAT	KRAS	false	false	false	false	false	false	false
P01111	P08620	NRAS	FGF4	false	false	false	false	false	false	false
P01111	P09038	NRAS	FGF2	false	false	false	false	false	false	false
P01111	P05113	NRAS	IL5	false	false	false	false	false	false	false
P01116	Q9HCT0	KRAS	FGF22	false	false	false	false	false	false	false
O60258	P01116	FGF17	KRAS	false	false	false	false	false	false	false
P01111	Q13224	NRAS	GRIN2B	false	false	false	false	false	false	false
P01116	Q15389	KRAS	ANGPT1	false	false	false	false	false	false	false
O43561	P01111	LAT	NRAS	false	false	false	false	false	false	false
O60674	P01111	JAK2	NRAS	false	false	false	false	false	false	false
P01111	P23458	NRAS	JAK1	false	false	false	false	false	false	false
O14827	P01111	RASGRF2	NRAS	true	false	false	false	false	false	true
O14827	P01112	RASGRF2	HRAS	true	false	false	false	false	false	true
P01112	P35609	HRAS	ACTN2	false	false	false	false	false	false	false
P01116	Q02763	KRAS	TEK	false	false	false	false	false	false	false
P01112	Q02763	HRAS	TEK	false	false	false	false	false	false	false
P01112	Q8WWG1	HRAS	NRG4	false	false	false	false	false	false	false
P01112	P29353	HRAS	SHC1	false	false	false	false	false	false	false
P01112	P15509	HRAS	CSF2RA	false	false	false	false	false	false	false
P01116	P32927	KRAS	CSF2RB	false	false	false	false	false	false	false
P01116	Q8IV61	KRAS	RASGRP3	true	false	false	false	false	false	true
